rank,name3,count,length
1344,ebony,42,5
1345,depot,42,5
1346,stradbroke,42,10
1347,federal,42,7
1348,thornbill,42,9
1349,gowrie,42,6
1350,carson,42,6
1351,wyuna,42,5
1352,gannet,42,6
1353,edna,42,4
1354,mccormack,42,9
1355,arlington,42,9
1356,angle,42,5
1357,mclaren,42,7
1358,lansdowne,42,9
1359,figtree,42,7
1360,warburton,42,9
1361,hickory,42,7
1362,crosby,42,6
1363,conifer,42,7
1364,howell,42,6
1365,wagtail,42,7
1366,hodges,42,6
1367,newhaven,42,8
1368,pope,41,4
1369,hurst,41,5
1370,whiting,41,7
